Country,Continent,ISO_Code,Level,GDLCODE,Region,"1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Colombia","America","COL","National","COLt","Total",0.119,0.122,0.115,0.125,0.126,0.122,0.124,0.108,0.132,0.130,0.126,0.114,0.112,0.120,0.114,0.118,0.120,0.124,0.124,0.117,0.135,0.131,0.118,0.119,0.116,0.110,0.119,0.111,0.109,0.106,0.109,0.120,0.119
"Comoros","Africa","COM","National","COMt","Total",0.034,0.050,0.026,0.037,0.046,0.032,0.042,0.027,0.034,0.030,0.027,0.031,0.043,0.032,0.041,0.034,0.049,0.029,0.043,0.034,0.029,0.037,0.039,0.039,0.038,0.038,0.045,0.041,0.036,0.041,0.035,0.032,0.034
"Congo Brazzaville","Africa","COG","National","COGt","Total",0.052,0.050,0.050,0.052,0.055,0.057,0.050,0.052,0.052,0.058,0.052,0.043,0.051,0.050,0.046,0.044,0.048,0.050,0.046,0.051,0.045,0.049,0.047,0.044,0.048,0.044,0.047,0.048,0.049,0.054,0.053,0.048,0.046
"Congo Democratic Republic","Africa","COD","National","CODt","Total",0.065,0.066,0.064,0.064,0.069,0.065,0.064,0.065,0.063,0.065,0.058,0.055,0.057,0.054,0.055,0.057,0.059,0.057,0.055,0.059,0.057,0.057,0.055,0.052,0.052,0.054,0.053,0.055,0.055,0.057,0.056,0.051,0.053
"Costa Rica","America","CRI","National","CRIt","Total",0.105,0.092,0.088,0.109,0.089,0.130,0.127,0.091,0.112,0.131,0.112,0.112,0.106,0.118,0.124,0.116,0.103,0.125,0.134,0.112,0.165,0.122,0.102,0.103,0.109,0.098,0.114,0.117,0.102,0.096,0.120,0.107,0.122
"Cote d'Ivoire","Africa","CIV","National","CIVt","Total",0.043,0.045,0.041,0.045,0.041,0.048,0.044,0.040,0.042,0.046,0.037,0.036,0.041,0.043,0.040,0.041,0.038,0.044,0.045,0.040,0.045,0.039,0.041,0.037,0.044,0.037,0.039,0.042,0.047,0.048,0.037,0.042,0.040
"Croatia","Europe","HRV","National","HRVt","Total",0.029,0.034,0.030,0.032,0.029,0.039,0.038,0.032,0.034,0.038,0.028,0.035,0.039,0.025,0.039,0.036,0.032,0.034,0.034,0.035,0.045,0.022,0.031,0.040,0.047,0.031,0.037,0.034,0.036,0.038,0.032,0.033,0.030
"Cuba","America","CUB","National","CUBt","Total",0.031,0.033,0.030,0.034,0.032,0.035,0.033,0.027,0.031,0.034,0.023,0.028,0.031,0.028,0.021,0.038,0.032,0.041,0.031,0.026,0.033,0.031,0.034,0.031,0.029,0.028,0.029,0.038,0.034,0.030,0.036,0.025,0.029
"Cyprus","Europe","CYP","National","CYPt","Total",0.008,0.018,0.013,0.009,0.017,0.008,0.014,0.013,0.012,0.009,0.014,0.014,0.013,0.015,0.014,0.010,0.011,0.012,0.007,0.016,0.010,0.014,0.021,0.010,0.011,0.014,0.010,0.011,0.016,0.023,0.015,0.011,0.013
"Czech Republic","Europe","CZE","National","CZEt","Total",0.022,0.022,0.023,0.024,0.024,0.031,0.026,0.027,0.027,0.025,0.026,0.030,0.031,0.019,0.025,0.028,0.025,0.028,0.025,0.028,0.032,0.023,0.026,0.027,0.026,0.022,0.026,0.027,0.020,0.024,0.029,0.029,0.028
